name,composition,manufacturer,pack_size,mrp
Diclofenac Tablet,Diclofenac + Excipients,Pharma_91,19,193.7
Cetirizine Tablet,Cetirizine + Excipients,Pharma_19,23,48.74
Crocin 500mg,Crocin + Excipients,Pharma_24,4,220.91
Maxtra Syrup,Maxtra + Excipients,Pharma_99,2,16.87
Ibuprofen 500mg,Ibuprofen + Excipients,Pharma_17,2,467.09
Medicine_4214,Unknown Composition,Pharma_26,24,214.99
Diclofenac 500mg,Diclofenac + Excipients,Pharma_69,6,163.23
Cefixime Syrup,Cefixime + Excipients,Pharma_89,21,59.34
Medicine_2533,Unknown Composition,Pharma_42,7,279.34
Medicine_5249,Unknown Composition,Pharma_7,7,68.19
Combiflam 650mg,Combiflam + Excipients,Pharma_7,2,303.29
Sumo Syrup,Sumo + Excipients,Pharma_94,9,143.88
Cough Syrup Tablet,Cough Syrup + Excipients,Pharma_36,21,239.8
Medicine_5538,Unknown Composition,Pharma_13,25,435.31
Tramadol 500mg,Tramadol + Excipients,Pharma_42,23,331.32
Medicine_2538,Unknown Composition,Pharma_45,27,467.27
Medicine_5577,Unknown Composition,Pharma_20,6,89.68
Medicine_7605,Unknown Composition,Pharma_52,4,151.24
Sumo 500mg,Sumo + Excipients,Pharma_51,28,231.31
Maxtra 650mg,Maxtra + Excipients,Pharma_23,10,311.54
Cetirizine 500mg,Cetirizine + Excipients,Pharma_33,6,175.87
Augmentin 500mg,Augmentin + Excipients,Pharma_80,23,404.03
Paracetamol 650mg,Paracetamol + Excipients,Pharma_23,8,482.68
Cetirizine Tablet,Cetirizine + Excipients,Pharma_93,14,427.96
Medicine_6299,Unknown Composition,Pharma_52,10,115.32
Ascoril 650mg,Ascoril + Excipients,Pharma_47,6,285.51
Paracetamol 500mg,Paracetamol + Excipients,Pharma_98,8,47.04
Maxtra Syrup,Maxtra + Excipients,Pharma_16,14,328.98
Maxtra Tablet,Maxtra + Excipients,Pharma_21,8,64.0
Medicine_5066,Unknown Composition,Pharma_45,13,183.4
Dextromethorphan 500mg,Dextromethorphan + Excipients,Pharma_98,17,481.09
Medicine_5675,Unknown Composition,Pharma_19,22,241.54
Crocin 500mg,Crocin + Excipients,Pharma_98,13,313.18
Medicine_7364,Unknown Composition,Pharma_78,26,428.96
Sinarest Syrup,Sinarest + Excipients,Pharma_45,24,456.0
Levocetirizine Syrup,Levocetirizine + Excipients,Pharma_81,17,431.1
Sinarest 650mg,Sinarest + Excipients,Pharma_19,18,265.85
Medicine_9975,Unknown Composition,Pharma_96,23,41.12
Paracetamol 500mg,Paracetamol + Excipients,Pharma_87,20,494.33
Medicine_5068,Unknown Composition,Pharma_88,10,50.32
Otrivin 500mg,Otrivin + Excipients,Pharma_71,25,39.79
Combiflam 650mg,Combiflam + Excipients,Pharma_7,11,266.0
Cetirizine 500mg,Cetirizine + Excipients,Pharma_66,1,322.76
Augmentin 500mg,Augmentin + Excipients,Pharma_20,11,256.42
Medicine_2901,Unknown Composition,Pharma_84,28,24.8
Diclofenac Tablet,Diclofenac + Excipients,Pharma_9,3,115.85
Ambroxol Tablet,Ambroxol + Excipients,Pharma_52,13,242.94
Medicine_6927,Unknown Composition,Pharma_8,4,51.87
Benadryl 500mg,Benadryl + Excipients,Pharma_68,10,147.5
Combiflam 650mg,Combiflam + Excipients,Pharma_54,23,189.67
Ascoril 650mg,Ascoril + Excipients,Pharma_63,26,19.91
Cough Syrup 500mg,Cough Syrup + Excipients,Pharma_18,20,395.25
Aceclofenac 500mg,Aceclofenac + Excipients,Pharma_66,26,71.1
Benadryl 650mg,Benadryl + Excipients,Pharma_92,7,19.96
Medicine_9930,Unknown Composition,Pharma_50,18,369.55
Ascoril 650mg,Ascoril + Excipients,Pharma_76,27,461.61
Medicine_1420,Unknown Composition,Pharma_10,8,32.22
Augmentin 500mg,Augmentin + Excipients,Pharma_83,22,301.98
Crocin 650mg,Crocin + Excipients,Pharma_55,25,316.77
Cefixime 500mg,Cefixime + Excipients,Pharma_21,10,37.11
Volini 650mg,Volini + Excipients,Pharma_30,2,337.74
Benadryl 500mg,Benadryl + Excipients,Pharma_51,1,420.19
Paracetamol 500mg,Paracetamol + Excipients,Pharma_48,8,74.99
Combiflam 500mg,Combiflam + Excipients,Pharma_94,27,254.91
Sumo Tablet,Sumo + Excipients,Pharma_42,28,366.19
Aceclofenac Tablet,Aceclofenac + Excipients,Pharma_66,5,47.49
Medicine_8624,Unknown Composition,Pharma_67,8,130.22
Medicine_8586,Unknown Composition,Pharma_46,6,103.37
Medicine_4200,Unknown Composition,Pharma_28,23,234.88
Maxtra 650mg,Maxtra + Excipients,Pharma_74,18,210.49
Sumo Tablet,Sumo + Excipients,Pharma_8,27,406.33
Cetirizine 500mg,Cetirizine + Excipients,Pharma_25,27,259.13
Medicine_9447,Unknown Composition,Pharma_29,18,145.81
Dextromethorphan Syrup,Dextromethorphan + Excipients,Pharma_4,15,32.44
Dolo 650 500mg,Dolo 650 + Excipients,Pharma_98,16,173.51
Crocin Tablet,Crocin + Excipients,Pharma_96,27,63.02
Medicine_2634,Unknown Composition,Pharma_9,6,377.97
Sumo 650mg,Sumo + Excipients,Pharma_44,6,15.11
Benadryl 650mg,Benadryl + Excipients,Pharma_84,13,22.62
Diclofenac 650mg,Diclofenac + Excipients,Pharma_9,23,388.54
Augmentin 650mg,Augmentin + Excipients,Pharma_48,27,200.8
Medicine_6168,Unknown Composition,Pharma_92,21,184.09
Sinarest Syrup,Sinarest + Excipients,Pharma_91,1,235.72
Sumo 650mg,Sumo + Excipients,Pharma_89,18,457.92
Sumo 650mg,Sumo + Excipients,Pharma_47,3,80.99
Aceclofenac 500mg,Aceclofenac + Excipients,Pharma_17,23,448.43
Augmentin 650mg,Augmentin + Excipients,Pharma_99,4,363.83
Cough Syrup 500mg,Cough Syrup + Excipients,Pharma_9,6,56.14
Benadryl Syrup,Benadryl + Excipients,Pharma_6,12,487.82
Sinarest Tablet,Sinarest + Excipients,Pharma_17,25,393.92
Combiflam Syrup,Combiflam + Excipients,Pharma_28,16,51.9
Aceclofenac Tablet,Aceclofenac + Excipients,Pharma_95,1,196.53
Crocin 650mg,Crocin + Excipients,Pharma_60,3,221.44
Aceclofenac Syrup,Aceclofenac + Excipients,Pharma_64,14,311.33
Volini Syrup,Volini + Excipients,Pharma_19,4,191.56
Paracetamol Syrup,Paracetamol + Excipients,Pharma_3,8,255.18
Amoxicillin 650mg,Amoxicillin + Excipients,Pharma_69,2,254.99
Diclofenac Syrup,Diclofenac + Excipients,Pharma_91,29,138.18
Medicine_9432,Unknown Composition,Pharma_5,1,347.94
Crocin 650mg,Crocin + Excipients,Pharma_96,26,62.17
Ascoril Tablet,Ascoril + Excipients,Pharma_41,13,474.38
Medicine_1644,Unknown Composition,Pharma_60,5,300.68
Medicine_1456,Unknown Composition,Pharma_45,22,429.03
Levocetirizine Tablet,Levocetirizine + Excipients,Pharma_97,20,499.69
Benadryl Tablet,Benadryl + Excipients,Pharma_16,14,295.97
Medicine_6545,Unknown Composition,Pharma_49,2,65.04
Medicine_4021,Unknown Composition,Pharma_33,22,469.37
Dextromethorphan 500mg,Dextromethorphan + Excipients,Pharma_95,5,125.99
Cefixime 500mg,Cefixime + Excipients,Pharma_65,6,492.72
Medicine_5865,Unknown Composition,Pharma_4,5,164.38
Levocetirizine 500mg,Levocetirizine + Excipients,Pharma_28,28,78.44
Medicine_5470,Unknown Composition,Pharma_26,14,444.59
Medicine_1855,Unknown Composition,Pharma_94,23,149.64
Medicine_1050,Unknown Composition,Pharma_14,20,167.82
Medicine_9170,Unknown Composition,Pharma_38,19,402.23
Dextromethorphan Syrup,Dextromethorphan + Excipients,Pharma_96,9,349.85
Maxtra 650mg,Maxtra + Excipients,Pharma_43,2,414.89
Medicine_9790,Unknown Composition,Pharma_91,28,169.74
Sumo Syrup,Sumo + Excipients,Pharma_69,4,133.41
Ibuprofen Tablet,Ibuprofen + Excipients,Pharma_72,3,336.96
Cetirizine Tablet,Cetirizine + Excipients,Pharma_67,19,39.55
Medicine_2533,Unknown Composition,Pharma_71,16,242.37
Cefixime 650mg,Cefixime + Excipients,Pharma_96,11,197.01
Otrivin Tablet,Otrivin + Excipients,Pharma_84,4,377.28
Ambroxol Syrup,Ambroxol + Excipients,Pharma_34,21,474.13
Augmentin 650mg,Augmentin + Excipients,Pharma_1,18,359.3
Cough Syrup 500mg,Cough Syrup + Excipients,Pharma_15,10,418.75
Ambroxol Syrup,Ambroxol + Excipients,Pharma_94,16,211.75
Medicine_4117,Unknown Composition,Pharma_42,25,479.76
Levocetirizine 500mg,Levocetirizine + Excipients,Pharma_34,25,165.82
Ambroxol Syrup,Ambroxol + Excipients,Pharma_42,18,111.33
Aceclofenac Tablet,Aceclofenac + Excipients,Pharma_37,21,285.84
Augmentin 500mg,Augmentin + Excipients,Pharma_77,22,333.19
Azithromycin 650mg,Azithromycin + Excipients,Pharma_12,27,170.58
Medicine_5834,Unknown Composition,Pharma_7,19,82.35
Maxtra Syrup,Maxtra + Excipients,Pharma_36,16,37.68
Medicine_1397,Unknown Composition,Pharma_2,18,417.55
Medicine_4372,Unknown Composition,Pharma_2,15,180.88
Medicine_9993,Unknown Composition,Pharma_21,28,327.19
Medicine_3372,Unknown Composition,Pharma_22,24,246.85
Levocetirizine Syrup,Levocetirizine + Excipients,Pharma_26,4,213.46
Diclofenac 650mg,Diclofenac + Excipients,Pharma_48,3,109.62
Ascoril 650mg,Ascoril + Excipients,Pharma_92,3,277.13
Medicine_7715,Unknown Composition,Pharma_5,10,26.4
Combiflam 650mg,Combiflam + Excipients,Pharma_89,18,36.72
Volini 650mg,Volini + Excipients,Pharma_36,24,176.92
Cough Syrup Syrup,Cough Syrup + Excipients,Pharma_9,20,339.96
Maxtra Syrup,Maxtra + Excipients,Pharma_76,9,267.52
Levocetirizine Tablet,Levocetirizine + Excipients,Pharma_50,27,42.07
Medicine_6708,Unknown Composition,Pharma_23,22,57.31
Medicine_5404,Unknown Composition,Pharma_40,18,260.76
Dextromethorphan 650mg,Dextromethorphan + Excipients,Pharma_35,2,387.1
Ambroxol 650mg,Ambroxol + Excipients,Pharma_78,24,301.91
Levocetirizine Tablet,Levocetirizine + Excipients,Pharma_9,19,206.57
Cough Syrup Syrup,Cough Syrup + Excipients,Pharma_9,22,37.04
Dolo 650 500mg,Dolo 650 + Excipients,Pharma_8,18,226.91
Medicine_4814,Unknown Composition,Pharma_33,5,119.62
Medicine_3865,Unknown Composition,Pharma_90,11,309.84
Ascoril 500mg,Ascoril + Excipients,Pharma_43,13,234.19
Azithromycin 500mg,Azithromycin + Excipients,Pharma_80,9,192.0
Medicine_8170,Unknown Composition,Pharma_71,25,376.08
Ibuprofen 500mg,Ibuprofen + Excipients,Pharma_22,8,100.95
Benadryl 650mg,Benadryl + Excipients,Pharma_38,24,406.93
Medicine_4211,Unknown Composition,Pharma_55,29,479.84
Combiflam Tablet,Combiflam + Excipients,Pharma_87,18,360.2
Medicine_5524,Unknown Composition,Pharma_79,9,487.75
Cefixime 500mg,Cefixime + Excipients,Pharma_91,18,18.05
Maxtra Syrup,Maxtra + Excipients,Pharma_71,29,164.06
Medicine_9222,Unknown Composition,Pharma_60,18,118.97
Ambroxol 650mg,Ambroxol + Excipients,Pharma_29,9,150.05
Cough Syrup 500mg,Cough Syrup + Excipients,Pharma_5,18,448.26
Medicine_1034,Unknown Composition,Pharma_9,26,204.82
Medicine_8519,Unknown Composition,Pharma_39,19,462.67
Ascoril 500mg,Ascoril + Excipients,Pharma_40,11,347.95
Maxtra Syrup,Maxtra + Excipients,Pharma_97,13,74.49
Benadryl 500mg,Benadryl + Excipients,Pharma_80,14,345.18
Medicine_8978,Unknown Composition,Pharma_16,28,170.95
Medicine_5367,Unknown Composition,Pharma_83,19,67.15
Dextromethorphan 650mg,Dextromethorphan + Excipients,Pharma_19,5,145.21
Otrivin 500mg,Otrivin + Excipients,Pharma_1,7,286.74
Ascoril Syrup,Ascoril + Excipients,Pharma_67,8,344.55
Benadryl Syrup,Benadryl + Excipients,Pharma_24,2,303.95
Medicine_7314,Unknown Composition,Pharma_40,28,19.31
Crocin Syrup,Crocin + Excipients,Pharma_30,14,162.75
Medicine_7080,Unknown Composition,Pharma_6,27,353.52
Combiflam Tablet,Combiflam + Excipients,Pharma_11,22,412.1
Ascoril 650mg,Ascoril + Excipients,Pharma_75,28,151.34
Ofloxacin 500mg,Ofloxacin + Excipients,Pharma_82,25,185.73
Medicine_6671,Unknown Composition,Pharma_53,25,145.47
Cough Syrup 500mg,Cough Syrup + Excipients,Pharma_34,6,478.05
Maxtra 500mg,Maxtra + Excipients,Pharma_23,22,176.09
Medicine_7262,Unknown Composition,Pharma_64,14,98.59
Tramadol Tablet,Tramadol + Excipients,Pharma_77,29,325.45
Ofloxacin 650mg,Ofloxacin + Excipients,Pharma_49,5,151.76
Dextromethorphan 650mg,Dextromethorphan + Excipients,Pharma_74,4,223.02
Sinarest Syrup,Sinarest + Excipients,Pharma_11,12,203.42
Tramadol Syrup,Tramadol + Excipients,Pharma_77,26,397.6
Azithromycin Syrup,Azithromycin + Excipients,Pharma_44,11,310.72
Ofloxacin 650mg,Ofloxacin + Excipients,Pharma_54,9,228.25
Paracetamol Tablet,Paracetamol + Excipients,Pharma_48,17,65.35
Ibuprofen Syrup,Ibuprofen + Excipients,Pharma_70,9,160.64
Medicine_1803,Unknown Composition,Pharma_98,29,305.08
Medicine_5313,Unknown Composition,Pharma_64,14,381.33
Medicine_8415,Unknown Composition,Pharma_96,1,179.43
Dolo 650 650mg,Dolo 650 + Excipients,Pharma_18,22,300.63
Medicine_7280,Unknown Composition,Pharma_28,4,115.06
Benadryl Tablet,Benadryl + Excipients,Pharma_45,29,301.04
Sinarest Tablet,Sinarest + Excipients,Pharma_19,5,216.43
Ambroxol 500mg,Ambroxol + Excipients,Pharma_9,28,267.54
Medicine_4143,Unknown Composition,Pharma_71,13,222.59
Ofloxacin Tablet,Ofloxacin + Excipients,Pharma_65,16,433.53
Medicine_8901,Unknown Composition,Pharma_12,27,482.9
Levocetirizine 500mg,Levocetirizine + Excipients,Pharma_78,12,291.58
Combiflam 650mg,Combiflam + Excipients,Pharma_92,3,85.72
Medicine_7473,Unknown Composition,Pharma_46,10,47.24
Ambroxol Tablet,Ambroxol + Excipients,Pharma_43,28,301.75
Cough Syrup 650mg,Cough Syrup + Excipients,Pharma_17,26,243.07
Cough Syrup Tablet,Cough Syrup + Excipients,Pharma_29,10,73.96
Ascoril 650mg,Ascoril + Excipients,Pharma_82,6,59.43
Amoxicillin Syrup,Amoxicillin + Excipients,Pharma_18,14,402.71
Maxtra 650mg,Maxtra + Excipients,Pharma_42,10,432.71
Paracetamol Tablet,Paracetamol + Excipients,Pharma_14,25,387.69
Ascoril 500mg,Ascoril + Excipients,Pharma_45,25,359.92
Ibuprofen Syrup,Ibuprofen + Excipients,Pharma_38,11,415.76
Ibuprofen 500mg,Ibuprofen + Excipients,Pharma_96,17,83.31
Diclofenac 650mg,Diclofenac + Excipients,Pharma_48,16,121.94
Cetirizine 500mg,Cetirizine + Excipients,Pharma_40,4,343.83
Cetirizine 500mg,Cetirizine + Excipients,Pharma_82,23,33.36
Medicine_5126,Unknown Composition,Pharma_74,20,274.92
Medicine_9271,Unknown Composition,Pharma_17,13,12.62
Augmentin 500mg,Augmentin + Excipients,Pharma_39,29,191.22
Sumo 650mg,Sumo + Excipients,Pharma_47,20,45.51
Combiflam Tablet,Combiflam + Excipients,Pharma_35,13,38.8
Diclofenac Tablet,Diclofenac + Excipients,Pharma_61,19,457.86
Medicine_7187,Unknown Composition,Pharma_99,26,468.87
Dextromethorphan Tablet,Dextromethorphan + Excipients,Pharma_14,5,390.94
Otrivin Tablet,Otrivin + Excipients,Pharma_37,10,234.69
Medicine_6381,Unknown Composition,Pharma_64,5,478.83
Ibuprofen Syrup,Ibuprofen + Excipients,Pharma_47,8,40.19
Dextromethorphan Tablet,Dextromethorphan + Excipients,Pharma_17,28,220.46
Medicine_2642,Unknown Composition,Pharma_78,20,462.74
Medicine_7434,Unknown Composition,Pharma_14,16,229.02
Ofloxacin 500mg,Ofloxacin + Excipients,Pharma_43,26,489.43
Benadryl 650mg,Benadryl + Excipients,Pharma_28,4,420.01
Diclofenac Syrup,Diclofenac + Excipients,Pharma_29,4,390.3
Cough Syrup Tablet,Cough Syrup + Excipients,Pharma_53,6,319.36
Combiflam 500mg,Combiflam + Excipients,Pharma_73,22,178.6
Medicine_2834,Unknown Composition,Pharma_87,4,198.12
Tramadol Syrup,Tramadol + Excipients,Pharma_74,23,443.6
Medicine_2222,Unknown Composition,Pharma_14,22,403.73
Medicine_3351,Unknown Composition,Pharma_17,20,33.34
Sumo Syrup,Sumo + Excipients,Pharma_38,24,346.84
Cough Syrup Tablet,Cough Syrup + Excipients,Pharma_96,27,98.4
Ibuprofen 500mg,Ibuprofen + Excipients,Pharma_25,15,17.77
Sinarest 500mg,Sinarest + Excipients,Pharma_83,27,438.31
Medicine_6300,Unknown Composition,Pharma_40,6,355.34
Augmentin 500mg,Augmentin + Excipients,Pharma_12,3,484.89
Sinarest Syrup,Sinarest + Excipients,Pharma_49,25,213.69
Ofloxacin Syrup,Ofloxacin + Excipients,Pharma_28,15,63.36
Crocin 650mg,Crocin + Excipients,Pharma_24,4,58.17
Ascoril 650mg,Ascoril + Excipients,Pharma_1,14,372.3
Dextromethorphan Tablet,Dextromethorphan + Excipients,Pharma_41,3,440.63
Dolo 650 500mg,Dolo 650 + Excipients,Pharma_41,28,410.9
Amoxicillin Syrup,Amoxicillin + Excipients,Pharma_13,15,190.82
Medicine_7177,Unknown Composition,Pharma_19,13,360.28
Cetirizine Syrup,Cetirizine + Excipients,Pharma_73,16,434.91
Ascoril Tablet,Ascoril + Excipients,Pharma_39,27,256.59
Maxtra 650mg,Maxtra + Excipients,Pharma_70,21,60.88
Medicine_5731,Unknown Composition,Pharma_87,1,351.54
Paracetamol 650mg,Paracetamol + Excipients,Pharma_24,20,11.66
Amoxicillin Tablet,Amoxicillin + Excipients,Pharma_30,22,80.76
Medicine_4717,Unknown Composition,Pharma_34,29,241.69
Medicine_9903,Unknown Composition,Pharma_54,24,247.8
Cefixime 500mg,Cefixime + Excipients,Pharma_6,24,398.32
Sumo Syrup,Sumo + Excipients,Pharma_24,1,449.06
Ofloxacin 650mg,Ofloxacin + Excipients,Pharma_36,5,236.86
Maxtra Tablet,Maxtra + Excipients,Pharma_28,8,424.63
Amoxicillin 650mg,Amoxicillin + Excipients,Pharma_33,27,446.74
Otrivin 500mg,Otrivin + Excipients,Pharma_83,24,100.11
Combiflam Tablet,Combiflam + Excipients,Pharma_14,21,430.02
Ibuprofen 500mg,Ibuprofen + Excipients,Pharma_42,2,322.27
Combiflam 500mg,Combiflam + Excipients,Pharma_58,7,228.0
Sumo Syrup,Sumo + Excipients,Pharma_15,20,264.72
Medicine_6283,Unknown Composition,Pharma_69,20,407.89
Medicine_6913,Unknown Composition,Pharma_14,26,186.44
Crocin Syrup,Crocin + Excipients,Pharma_4,6,139.3
Volini Syrup,Volini + Excipients,Pharma_77,20,432.57
Medicine_3631,Unknown Composition,Pharma_1,5,334.49
Medicine_1772,Unknown Composition,Pharma_82,29,248.97
Ambroxol 650mg,Ambroxol + Excipients,Pharma_27,29,38.18
Medicine_3725,Unknown Composition,Pharma_80,12,463.02
Sumo 500mg,Sumo + Excipients,Pharma_95,26,460.64
Crocin 500mg,Crocin + Excipients,Pharma_47,5,336.07
Dextromethorphan 650mg,Dextromethorphan + Excipients,Pharma_20,22,374.48
Medicine_5086,Unknown Composition,Pharma_27,16,84.38
Medicine_1605,Unknown Composition,Pharma_64,10,71.25
Sumo Tablet,Sumo + Excipients,Pharma_34,10,163.53
Cefixime 500mg,Cefixime + Excipients,Pharma_93,20,456.11
Azithromycin 500mg,Azithromycin + Excipients,Pharma_17,28,343.68
Medicine_5528,Unknown Composition,Pharma_72,26,200.57
Benadryl 500mg,Benadryl + Excipients,Pharma_3,13,56.77
Cough Syrup Syrup,Cough Syrup + Excipients,Pharma_62,7,422.82
Ascoril Syrup,Ascoril + Excipients,Pharma_48,16,274.01
Benadryl Syrup,Benadryl + Excipients,Pharma_4,10,295.78
Medicine_8962,Unknown Composition,Pharma_62,8,224.77
Medicine_1251,Unknown Composition,Pharma_98,18,178.5
Ibuprofen Syrup,Ibuprofen + Excipients,Pharma_84,17,272.23
Dextromethorphan 500mg,Dextromethorphan + Excipients,Pharma_19,9,16.72
Amoxicillin 500mg,Amoxicillin + Excipients,Pharma_56,15,24.93
Ascoril Syrup,Ascoril + Excipients,Pharma_49,15,49.96
Cough Syrup 650mg,Cough Syrup + Excipients,Pharma_84,23,327.88
Volini 500mg,Volini + Excipients,Pharma_26,29,400.01
Medicine_9776,Unknown Composition,Pharma_89,25,483.48
Crocin Syrup,Crocin + Excipients,Pharma_18,10,434.26
Cough Syrup 500mg,Cough Syrup + Excipients,Pharma_44,2,288.71
Cefixime Tablet,Cefixime + Excipients,Pharma_99,2,405.62
Ofloxacin 650mg,Ofloxacin + Excipients,Pharma_41,15,337.02
Medicine_2091,Unknown Composition,Pharma_82,2,175.85
Crocin Syrup,Crocin + Excipients,Pharma_25,10,190.85
Medicine_7516,Unknown Composition,Pharma_7,27,24.0
Tramadol Syrup,Tramadol + Excipients,Pharma_42,10,286.9
Volini 500mg,Volini + Excipients,Pharma_27,2,116.96
Cefixime Tablet,Cefixime + Excipients,Pharma_61,12,337.54
Medicine_5463,Unknown Composition,Pharma_25,8,295.11
Ofloxacin Tablet,Ofloxacin + Excipients,Pharma_75,7,308.2
Medicine_7276,Unknown Composition,Pharma_23,14,418.86
Medicine_7933,Unknown Composition,Pharma_14,14,474.6
Medicine_7495,Unknown Composition,Pharma_66,22,461.73
Cough Syrup 650mg,Cough Syrup + Excipients,Pharma_80,17,271.4
Medicine_3086,Unknown Composition,Pharma_15,3,84.54
Aceclofenac 500mg,Aceclofenac + Excipients,Pharma_64,20,382.36
Medicine_6125,Unknown Composition,Pharma_54,17,465.47
Tramadol Syrup,Tramadol + Excipients,Pharma_75,4,28.25
Medicine_6869,Unknown Composition,Pharma_79,19,411.64
Ibuprofen Tablet,Ibuprofen + Excipients,Pharma_71,23,62.84
Cough Syrup Tablet,Cough Syrup + Excipients,Pharma_21,19,191.21
Diclofenac 650mg,Diclofenac + Excipients,Pharma_77,6,190.1
Benadryl 650mg,Benadryl + Excipients,Pharma_79,24,22.6
Ibuprofen 650mg,Ibuprofen + Excipients,Pharma_1,1,19.81
Medicine_7710,Unknown Composition,Pharma_63,8,492.98
Medicine_9714,Unknown Composition,Pharma_37,21,443.78
Maxtra 650mg,Maxtra + Excipients,Pharma_84,2,11.28
Medicine_2447,Unknown Composition,Pharma_85,27,246.39
Cough Syrup Syrup,Cough Syrup + Excipients,Pharma_20,24,318.72
Medicine_5964,Unknown Composition,Pharma_22,29,38.74
Augmentin Tablet,Augmentin + Excipients,Pharma_50,15,339.95
Medicine_6447,Unknown Composition,Pharma_20,7,387.89
Medicine_6722,Unknown Composition,Pharma_94,29,326.41
Ascoril Syrup,Ascoril + Excipients,Pharma_83,3,466.04
Medicine_6845,Unknown Composition,Pharma_38,1,35.72
Otrivin 650mg,Otrivin + Excipients,Pharma_50,9,343.92
Medicine_5261,Unknown Composition,Pharma_83,9,260.2
Aceclofenac Tablet,Aceclofenac + Excipients,Pharma_38,28,120.6
Dolo 650 Syrup,Dolo 650 + Excipients,Pharma_14,12,96.06
Cough Syrup Tablet,Cough Syrup + Excipients,Pharma_97,4,409.24
Sinarest Syrup,Sinarest + Excipients,Pharma_24,22,392.66
Medicine_7005,Unknown Composition,Pharma_68,3,275.36
Volini Tablet,Volini + Excipients,Pharma_90,1,137.56
Volini Syrup,Volini + Excipients,Pharma_32,11,174.28
Medicine_9929,Unknown Composition,Pharma_52,3,77.96
Medicine_8615,Unknown Composition,Pharma_41,26,382.06
Ambroxol Syrup,Ambroxol + Excipients,Pharma_10,23,156.6
Medicine_6597,Unknown Composition,Pharma_66,9,471.73
Sumo 650mg,Sumo + Excipients,Pharma_72,19,84.22
Medicine_7284,Unknown Composition,Pharma_86,28,477.74
Medicine_4432,Unknown Composition,Pharma_88,3,331.5
Medicine_3954,Unknown Composition,Pharma_85,5,11.29
Medicine_3039,Unknown Composition,Pharma_82,25,73.46
Paracetamol Syrup,Paracetamol + Excipients,Pharma_16,8,234.76
Medicine_7217,Unknown Composition,Pharma_97,11,285.31
Medicine_9333,Unknown Composition,Pharma_29,29,222.51
Amoxicillin 650mg,Amoxicillin + Excipients,Pharma_69,6,245.08
Otrivin 500mg,Otrivin + Excipients,Pharma_66,16,204.36
Medicine_5324,Unknown Composition,Pharma_53,7,254.58
Tramadol 650mg,Tramadol + Excipients,Pharma_90,16,335.44
Combiflam Tablet,Combiflam + Excipients,Pharma_81,9,429.7
Diclofenac Tablet,Diclofenac + Excipients,Pharma_74,2,36.59
Ambroxol Syrup,Ambroxol + Excipients,Pharma_54,15,250.13
Ofloxacin 500mg,Ofloxacin + Excipients,Pharma_56,10,29.59
Medicine_1869,Unknown Composition,Pharma_92,4,285.13
Ascoril 650mg,Ascoril + Excipients,Pharma_78,11,14.53
Tramadol 650mg,Tramadol + Excipients,Pharma_58,10,404.54
Paracetamol 500mg,Paracetamol + Excipients,Pharma_54,1,306.38
Sinarest Tablet,Sinarest + Excipients,Pharma_47,4,408.0
Diclofenac 650mg,Diclofenac + Excipients,Pharma_42,8,253.34
Sumo Tablet,Sumo + Excipients,Pharma_72,14,239.12
Maxtra Tablet,Maxtra + Excipients,Pharma_30,1,364.49
Cough Syrup 500mg,Cough Syrup + Excipients,Pharma_39,20,212.74
Diclofenac 650mg,Diclofenac + Excipients,Pharma_66,9,255.38
Dolo 650 650mg,Dolo 650 + Excipients,Pharma_50,13,28.88
Ascoril Tablet,Ascoril + Excipients,Pharma_52,3,67.33
Volini Tablet,Volini + Excipients,Pharma_44,19,472.76
Medicine_9929,Unknown Composition,Pharma_75,9,265.19
Medicine_6413,Unknown Composition,Pharma_27,2,394.25
Combiflam 500mg,Combiflam + Excipients,Pharma_6,23,172.42
Ibuprofen 500mg,Ibuprofen + Excipients,Pharma_87,23,410.5
Medicine_5943,Unknown Composition,Pharma_51,10,334.21
Otrivin 650mg,Otrivin + Excipients,Pharma_79,10,354.58
Levocetirizine 500mg,Levocetirizine + Excipients,Pharma_29,13,389.89
Crocin 500mg,Crocin + Excipients,Pharma_17,2,426.85
Otrivin Tablet,Otrivin + Excipients,Pharma_46,17,236.76
Medicine_5015,Unknown Composition,Pharma_52,14,383.18
Aceclofenac Tablet,Aceclofenac + Excipients,Pharma_72,7,442.12
Aceclofenac Tablet,Aceclofenac + Excipients,Pharma_70,26,288.91
Paracetamol 500mg,Paracetamol + Excipients,Pharma_13,14,80.47
Volini Syrup,Volini + Excipients,Pharma_93,12,457.5
Cough Syrup 650mg,Cough Syrup + Excipients,Pharma_17,16,305.15
Crocin Syrup,Crocin + Excipients,Pharma_57,1,436.47
Levocetirizine Tablet,Levocetirizine + Excipients,Pharma_16,17,321.13
Sumo 500mg,Sumo + Excipients,Pharma_24,9,145.49
Medicine_8599,Unknown Composition,Pharma_66,1,359.71
Diclofenac 500mg,Diclofenac + Excipients,Pharma_45,9,183.53
Cough Syrup 650mg,Cough Syrup + Excipients,Pharma_7,17,383.56
Ofloxacin 500mg,Ofloxacin + Excipients,Pharma_63,5,464.94
Diclofenac Syrup,Diclofenac + Excipients,Pharma_34,17,250.88
Benadryl 650mg,Benadryl + Excipients,Pharma_52,24,286.3
Amoxicillin 650mg,Amoxicillin + Excipients,Pharma_84,24,214.63
